고용인원,투자유치횟수,서비스/제품 수,연간 퇴사율,공동 창업자 수,총 투자자 수,특허기술 평균등급,최종투자단계,투자점수,자본금(만원),누적투자유치금액(만원),연매출(만원),매출액_2020(만원),매출액_2021(만원),영업이익_2020(만원),영업이익_2021(만원),순이익_2020(만원),순이익_2021(만원),자산_2020(만원),자산_2021(만원),자본_2020(만원),자본_2021(만원),2022기준 시장규모(만원),최근투자유치(만원),년차,자본잠식률,주소 점수
6,1,2,58,1,1,0.0,seed,30,39000,10000,89000,3079,41000,-7442,-19000,-6008,1519,37000,42000,11000,13000,61490000,10000,3,66.67,12
3,1,2,40,1,1,0.0,seed,30,988,7000,59000,21000,48000,4113,2748,3841,2640,20000,64000,11000,23000,80430000000,7000,3,-2227.94,7
4,1,3,32,1,2,0.0,seed,11,78000,200000,37000,11000,16000,-26000,-32000,-6231,2995,220000,224000,68000,71000,9510000000,120000,6,8.97,9
2,1,1,98,1,1,0.0,pre-A,1,12000,40000,92000,16000,28000,-23000,-26000,-23000,-26000,38000,22000,35000,8738,20070000000,40000,4,27.18,7
24,4,1,33,2,5,2.0,pre-A,73,5183,160000,235000,134000,177000,-76000,-80000,-46000,-65000,111000,55000,108000,33000,34320000000,50000,5,-536.7,8
6,1,1,0,1,1,2.6,seed,60,9741,100000,37000,636,13000,-15000,-18000,-14000,-16000,31000,68000,-3601,34000,1250000000,50000,4,-249.04,1
9,2,1,34,1,2,0.0,seed,17,5710,20000,90000,35000,74000,-13000,16000,-1435,15000,39000,47000,2347,18000,16490000000,15000,6,-215.24,12
5,4,1,141,1,7,0.0,seed,161,8995,23000,58000,3067,23000,-45000,-69000,-7240,-43000,77000,80000,18000,6377,25480000000,50000,6,29.11,12
14,1,3,8,2,2,2.0,seed,20,42000,50000,5956,1435,5023,-32000,-26000,-31000,-25000,41000,325000,28000,203000,6750000000,50000,4,-383.33,4
14,2,1,39,1,3,0.0,seed,71,65000,80000,68000,55000,38000,6241,-60000,10000,-52000,154000,301000,119000,266000,11760000000,20000,6,-309.23,8
12,2,1,65,1,2,0.0,pre-A,61,3431,165000,12000,1664,2429,-4944,-32000,-1371,-22000,13000,18000,-1271,-6171,1950000000,150000,3,279.86,9
20,2,3,76,1,2,0.0,seed,2,3000,70000,22000,10000,26000,-5539,-41000,2687,6482,4726,66000,3076,39000,35230000000,40000,4,-1200.0,7
19,4,1,34,1,8,0.0,pre-A,252,740,400000,84000,4604,28000,-46000,-19000,-45000,-17000,45000,63000,40000,23000,2510000000,50000,4,-3008.11,5
10,5,1,134,1,7,0.0,pre-A,245,49000,144000,126000,17000,72000,-9494,-2549,-1409,-37000,15000,4845,3436,-2397,8930000000,26000,4,104.89,1
19,3,1,48,1,4,2.0,pre-A,88,8343,110000,24000,23000,26000,-2442,-10000,-2836,-11000,35000,49000,3570,17000,44010000000,20000,4,-103.76,9
13,2,1,19,1,2,0.0,pre-A,17,11000,22,254000,2754,33000,-1200,-18000,-1199,-18000,2394,35000,-1198,25000,170000000,110000,3,-127.27,7
62,3,2,37,2,8,2.0,pre-A,212,6863,2400000,1200000,139000,370000,-73000,118000,-70000,109000,91000,257000,-46000,63000,11740000000,2100000,7,-817.97,7
2,1,1,87,1,1,0.0,seed,80,233,40000,11000,6329,11000,-915,-17000,-914,-6626,1681,43000,1211,34000,25480000000,40000,3,-14492.27,9
26,2,1,27,1,3,2.0,pre-A,86,186,400000,53000,1640,21000,-56000,-36000,71,8909,73000,383000,36000,345000,5270000000,300000,5,-185383.87,5
19,1,1,64,1,2,0.0,pre-A,70,27000,100000,339000,205000,399000,-5021,-249000,61000,-92000,299000,115000,141000,49000,2510000000,50000,6,-81.48,10
24,1,5,50,1,1,0.0,seed,1,5114,1,270000,75000,192000,401,-539,14000,10000,44000,77000,164,28000,16490000000,10000,7,-447.52,5
6,2,1,77,1,3,0.0,pre-A,12,106,150000,13000,15000,13000,-24000,-27000,-2600,-1103,57000,93000,114,29000,16490000000,50000,6,-27258.49,12
15,1,1,52,1,1,0.0,pre-A,61,10000,200000,451000,190000,275000,1257,21000,15000,39000,51000,88000,-5423,33000,17140000000,200000,7,-230.0,12
27,2,1,39,1,4,0.0,pre-A,43,33000,340000,669000,99000,496000,-39000,-76000,-33000,-25000,57000,122000,29000,3847,3000000000,240000,3,88.34,10
18,4,1,86,1,5,0.0,pre-A,163,129,150000,142000,23000,142000,-31000,-37000,-23000,-19000,23000,40000,20000,638,800000000,30000,4,-394.57,7
16,3,1,12,1,4,4.0,pre-A,5,63000,300000,101000,30000,58000,-28000,-8113,1712,6380,22000,230000,-71000,114000,16490000000,200000,7,-80.95,5
7,1,1,67,1,2,0.0,seed,71,3797,40000,2894,11000,10000,-24000,-33000,-16000,-8690,9758,12000,-12000,-21000,1450000000,40000,5,653.07,6
10,1,3,32,1,1,0.0,pre-A,1,4392,20000,10000,97419,10000,-4429,-25000,-2577,-11000,0,10000,2417,1056,4940000000,20000,4,75.96,7
7,1,3,0,1,1,0.0,seed,30,2133,50000,6500,38000,13000,21000,5110,19000,4825,21000,21000,21000,21000,5270000000,50000,4,-884.53,5
34,2,0,37,1,6,0.0,pre-A,18,44000,330000,53000,58000,105000,1042,-20000,2780,-8718,45000,114000,983,44000,15180000000,330000,4,0.0,5
10,3,2,48,1,4,2.0,pre-A,28,1421,130000,28000,18000,24000,-36000,-60000,-1769,-18000,30000,19000,-1347,-19000,18470000000,30000,6,1437.09,7
12,4,1,138,1,5,0.0,pre-A,44,5081,250000,181000,13000,44000,-30000,-57000,-19000,-32000,15000,30000,-6640,-9289,8500000000,150000,4,282.82,0
10,3,1,30,1,3,0.0,pre-A,72,4054,200000,207000,24000,207000,-22000,-84000,-17000,-77000,33000,57000,-634,9459,80430000000,50000,4,-133.33,0
